종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"69,000",하락900,-1.29%,"5,139,741","354,066","69,000","69,100","4,072,711",
2,SK하이닉스,"259,000","하락4,500",-1.71%,"415,595","107,539","259,000","259,500","1,881,886",
3,LG에너지솔루션,"384,500","하락2,000",-0.52%,"69,897","26,985","384,500","385,000","898,560",
4,삼성바이오로직스,"1,032,000","하락19,000",-1.81%,"12,551","12,979","1,031,000","1,032,000","733,804",
5,한화에어로스페이스,"935,000","하락26,000",-2.71%,"57,972","54,281","935,000","936,000","482,633",
6,KB금융,"114,700","상승2,300",+2.05%,"60,702","6,899","114,700","114,800","440,970",
7,현대차,"210,500",보합0,0.00%,"124,965","26,279","210,500","211,000","431,015",
8,두산에너빌리티,"66,200","상승1,400",+2.16%,"7,307,291","481,899","66,100","66,200","424,692",
9,HD현대중공업,"466,500","상승2,500",+0.54%,"112,320","52,185","467,000","467,500","414,127",
10,셀트리온,"178,000",상승200,+0.11%,"88,923","15,745","177,600","177,800","412,193",
11,기아,"101,700",상승300,+0.30%,"109,855","11,204","101,700","101,800","404,831",
12,NAVER,"228,000","하락4,000",-1.72%,"479,674","110,082","228,000","228,500","362,029",
13,한화오션,"114,400","하락1,700",-1.46%,"1,875,205","213,297","114,300","114,400","349,924",
14,신한지주,"68,300",상승300,+0.44%,"47,611","3,251","68,600","68,700","333,535",
15,삼성물산,"163,200",상승600,+0.37%,"32,041","5,230","163,000","163,400","276,892",
16,한국전력,"41,100","상승2,800",+7.31%,"7,287,041","296,664","41,150","41,200","264,168",
17,현대모비스,"286,000",보합0,0.00%,"13,572","3,882","285,500","286,000","262,534",
18,카카오,"56,800","상승2,100",+3.84%,"2,551,636","142,291","56,800","56,900","251,064",
19,삼성생명,"123,500",상승400,+0.32%,"6,712",828,"123,800","124,000","248,200",
20,HD한국조선해양,"350,000","하락6,500",-1.82%,"47,851","16,817","349,500","350,000","247,706",
21,하나금융지주,"85,400",상승900,+1.07%,"65,471","5,560","85,400","85,500","243,439",
22,POSCO홀딩스,"298,500",상승500,+0.17%,"80,450","23,960","298,000","298,500","241,585",
23,HMM,"23,100",상승50,+0.22%,"318,550","7,344","23,050","23,100","236,272",
24,현대로템,"196,900","하락4,100",-2.04%,"502,888","98,919","196,500","196,600","215,447",
25,LG화학,"301,000","상승3,000",+1.01%,"78,879","23,801","300,000","300,500","212,483",
26,메리츠금융지주,"114,000",상승500,+0.44%,"7,670",871,"114,200","114,300","206,297",
27,삼성화재,"436,500","상승2,500",+0.58%,"2,956","1,284","437,000","437,500","201,299",
28,우리금융지주,"25,050",상승150,+0.60%,"289,812","7,222","25,000","25,050","186,019",
29,SK스퀘어,"140,300","하락3,200",-2.23%,"33,155","4,617","140,100","140,200","185,955",
30,HD현대일렉트릭,"505,000","상승1,000",+0.20%,"45,679","22,781","505,000","506,000","182,759",
31,삼성SDI,"218,000","상승4,500",+2.11%,"689,216","149,904","218,000","218,500","175,676",
32,삼성중공업,"19,600",하락150,-0.76%,"2,482,380","48,677","19,590","19,600","172,480",
33,KT&G,"140,000","상승2,800",+2.04%,"40,155","5,581","139,700","140,000","171,498",
34,SK이노베이션,"108,500","상승2,000",+1.88%,"105,018","11,377","108,300","108,400","164,628",
35,기업은행,"19,330",상승100,+0.52%,"159,842","3,079","19,310","19,320","154,222",
36,고려아연,"767,000","상승4,000",+0.52%,"1,652","1,272","768,000","769,000","153,578",
37,크래프톤,"318,500","상승1,500",+0.47%,"8,333","2,653","319,000","319,500","151,418",
38,SK,"192,700","상승4,800",+2.55%,"40,295","7,706","192,500","192,600","139,495",
39,KT,"54,500",하락300,-0.55%,"33,142","1,803","54,400","54,500","137,100",
40,LIG넥스원,"600,000","하락14,000",-2.28%,"26,930","16,143","600,000","601,000","132,660",
41,카카오뱅크,"26,950",하락300,-1.10%,"2,657,178","75,479","27,000","27,050","128,310",
42,LG전자,"77,000",상승400,+0.52%,"119,565","9,193","76,900","77,000","125,845",
43,LG,"77,700",상승200,+0.26%,"19,965","1,556","77,700","77,900","122,027",
44,SK텔레콤,"56,200",하락300,-0.53%,"136,530","7,682","56,100","56,200","120,927",
45,현대글로비스,"159,000","상승10,200",+6.85%,"85,911","13,400","158,900","159,100","119,625",
46,삼성에스디에스,"154,200",하락600,-0.39%,"19,085","2,936","154,300","154,400","119,394",
47,효성중공업,"1,282,000",보합0,0.00%,0,0,0,0,"119,168",
48,포스코퓨처엠,"150,900","상승2,500",+1.68%,"394,515","58,980","150,500","150,600","116,892",
49,삼성전기,"155,100",하락600,-0.39%,"134,729","20,815","154,900","155,000","116,223",
50,하이브,"258,500","하락3,500",-1.34%,"101,655","26,558","258,000","258,500","107,879",
